olinkID	UNIPROT	TargetFullName	Target	uniprot_gn_symbol	entrezgene_id	entrezgene_accession	hgnc_id	hgnc_symbol	external_gene_name	gene_biotype	CHR	START_hg19	END_hg19	strand_hg19	START_hg38	END_hg38	strand_hg38	uniprot_gn_id
OID40001	Q9NUQ8	ATP-binding cassette sub-family F member 3	ABCF3	ABCF3	55324	ABCF3	HGNC:72	ABCF3	ABCF3	protein_coding	3	183903863	183911795	+	184186095	184194012	+	Q9NUQ8
OID40002	Q8WTS1	1-acylglycerol-3-phosphate O-acyltransferase ABHD5	ABHD5	ABHD5	51099	ABHD5	HGNC:21396	ABHD5	ABHD5	protein_coding	3	43732375	43764217	+	43690108	43734371	+	Q8WTS1
OID40003	Q96I13	Protein ABHD8	ABHD8	ABHD8	79575	ABHD8	HGNC:23759	ABHD8	ABHD8	protein_coding	19	17402940	17414282	-	17292131	17310236	-	Q96I13
OID40004	Q9H845	Complex I assembly factor ACAD9, mitochondrial	ACAD9	ACAD9	28976	ACAD9	HGNC:21497	ACAD9	ACAD9	protein_coding	3	128598333	128631957	+	128879596	128924003	+	Q9H845
OID40005	Q6NUN0	Acyl-coenzyme A synthetase ACSM5, mitochondrial	ACSM5	ACSM5	54988	ACSM5	HGNC:26060	ACSM5	ACSM5	protein_coding	16	20420856	20452281	+	20409534	20441336	+	Q6NUN0
OID40006	Q8IZF7	Adhesion G-protein coupled receptor F2	ADGRF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40007	Q6ULP2	Aftiphilin	AFTPH	AFTPH	54812	AFTPH	HGNC:25951	AFTPH	AFTPH	protein_coding	2	64751439	64820138	+	64524299	64593005	+	Q6ULP2
OID40008	Q8N157	Jouberin	AHI1	AHI1	54806	AHI1	HGNC:21575	AHI1	AHI1	protein_coding	6	135605110	135818903	-	135283407	135498434	-	Q8N157
OID40009	C9J069	Apical junction component 1 homolog	AJM1	AJM1	389813	AJM1	HGNC:37284	AJM1	AJM1	protein_coding	9	139738867	139741797	+	136842478	136848801	+	C9J069
OID40010	P24588	A-kinase anchor protein 5	AKAP5	AKAP5	9495	AKAP5	HGNC:375	AKAP5	AKAP5	protein_coding	14	64932217	64941221	+	64465499	64474503	+	P24588
OID40011	Q86TB3	Alpha-protein kinase 2	ALPK2	ALPK2	115701	ALPK2	HGNC:20565	ALPK2	ALPK2	protein_coding	18	56148482	56296189	-	58481247	58629091	-	Q86TB3
OID40012	Q99218	Amelogenin, Y isoform	AMELY	AMELY	266	AMELY	HGNC:462	AMELY	AMELY	protein_coding	Y	6733959	6742068	-	6865918	6911752	-	Q99218
OID40013	Q9UM13	Anaphase-promoting complex subunit 10	ANAPC10	ANAPC10	10393	ANAPC10	HGNC:24077	ANAPC10	ANAPC10	protein_coding	4	145915727	146019693	-	144210701	145098541	-	Q9UM13
